iter	Passed	Remaining
645	1570	241526
646	1572	241520
647	1575	241508
648	1577	241517
649	1579	241447
650	1582	241447
651	1584	241493
652	1586	241443
653	1589	241498
654	1591	241454
655	1594	241473
656	1596	241457
657	1599	241430
658	1601	241447
659	1604	241474
660	1606	241479
661	1609	241481
662	1611	241437
663	1614	241491
664	1616	241526
665	1619	241484
666	1621	241483
667	1623	241478
668	1625	241420
669	1628	241411
670	1630	241390
671	1633	241408
672	1635	241433
673	1638	241389
674	1640	241399
675	1642	241393
676	1645	241379
677	1647	241376
678	1650	241362
679	1652	241330
680	1654	241326
681	1657	241331
682	1659	241328
683	1661	241304
684	1664	241290
685	1666	241262
686	1668	241226
687	1670	241195
688	1673	241189
689	1675	241210
690	1678	241210
691	1680	241187
692	1682	241140
693	1685	241137
694	1687	241153
695	1690	241152
696	1692	241159
697	1694	241108
698	1697	241103
699	1699	241129
700	1702	241140
701	1704	241116
702	1706	241107
703	1709	241131
704	1711	241089
705	1714	241090
706	1716	241110
707	1719	241131
708	1721	241120
709	1724	241146
710	1726	241125
711	1728	241090
712	1731	241079
713	1733	241071
714	1735	241031
715	1738	241011
716	1740	240991
717	1742	240930
718	1744	240907
719	1746	240891
720	1749	240905
721	1751	240895
722	1754	240886
723	1756	240876
724	1759	240917
725	1761	240893
726	1764	240920
727	1766	240920
728	1769	240895
729	1771	240865
730	1773	240865
731	1775	240824
732	1778	240821
733	1780	240806
734	1783	240827
735	1785	240811
736	1787	240794
737	1789	240754
738	1792	240726
739	1794	240711
740	1797	240721
741	1799	240713
742	1801	240706
743	1804	240694
744	1806	240661
745	1808	240644
746	1811	240659
747	1813	240686
748	1816	240677
749	1818	240707
750	1821	240729
751	1824	240747
752	1826	240723
753	1829	240748
754	1831	240699
755	1833	240657
756	1835	240653
757	1837	240624
758	1840	240599
759	1842	240568
760	1844	240583
761	1847	240547
762	1849	240523
763	1851	240498
764	1853	240493
765	1856	240471
766	1858	240444
767	1860	240419
768	1863	240408
769	1866	240502
770	1868	240504
771	1870	240477
772	1873	240474
773	1876	240512
774	1878	240506
775	1881	240575
776	1884	240602
777	1886	240626
778	1889	240629
779	1891	240613
780	1894	240624
781	1896	240624
782	1899	240660
783	1901	240612
784	1903	240555
785	1905	240507
786	1907	240477
787	1910	240546
788	1912	240524
789	1915	240528
790	1917	240504
791	1919	240491
792	1922	240486
793	1924	240494
794	1927	240467
795	1929	240468
796	1932	240489
797	1934	240482
798	1936	240483
799	1939	240529
800	1942	240537
801	1944	240529
802	1946	240516
803	1949	240484
804	1951	240454
805	1953	240465
806	1956	240429
807	1958	240454
808	1961	240466
809	1963	240476
810	1966	240488
811	1968	240440
812	1971	240466
813	1973	240497
814	1975	240458
815	1978	240445
816	1980	240473
817	1983	240468
818	1985	240439
819	1987	240415
820	1990	240417
821	1992	240416
822	1994	240402
823	1997	240407
824	1999	240358
825	2001	240340
826	2004	240333
827	2006	240350
828	2009	240337
829	2011	240287
830	2013	240268
831	2015	240260
832	2017	240232
833	2020	240264
834	2022	240235
835	2025	240203
836	2027	240187
837	2029	240148
838	2031	240141
839	2034	240155
840	2036	240144
841	2039	240168
842	2041	240152
843	2043	240129
844	2046	240113
845	2048	240114
846	2050	240084
847	2053	240050
848	2055	240024
849	2057	240040
850	2060	240052
851	2062	240043
852	2065	240028
853	2067	240040
854	2069	239999
855	2072	240003
856	2074	240019
857	2077	240020
858	2079	240001
859	2081	239968
860	2084	239985
861	2086	239992
862	2088	239972
863	2091	239956
864	2093	239949
865	2095	239927
866	2098	239904
867	2100	239904
868	2102	239872
869	2105	239874
870	2107	239864
871	2109	239837
872	2112	239855
873	2114	239865
874	2117	239868
875	2119	239882
876	2122	239884
877	2124	239872
878	2127	239853
879	2129	239822
880	2131	239807
881	2134	239819
882	2136	239802
883	2138	239809
884	2141	239807
885	2143	239757
886	2145	239744
887	2147	239733
888	2150	239738
889	2153	239776
890	2155	239764
